Data,Hora,Var1,Var2,Var3,Var4,Var5,Var6
31-01-19,12:15:00,52.26,52.33,52.26,52.3,52.2533,52.435
31-01-19,12:10:00,52.22,52.26,52.13,52.25,52.2167,52.485
31-01-19,12:05:00,52.19,52.22,52.09,52.21,52.2833,52.5388
31-01-19,12:00:00,52.45,52.45,52.14,52.19,52.4033,52.5963
31-01-19,11:55:00,52.58,52.58,52.41,52.45,52.5967,52.6575
31-01-19,11:50:00,52.77,52.79,52.52,52.57,52.6933,52.6888
31-01-19,11:45:00,52.73,52.77,52.72,52.77,52.7367,52.6913
31-01-19,11:40:00,52.73,52.74,52.71,52.74,52.7067,52.6513
31-01-19,11:35:00,52.68,52.74,52.66,52.7,52.6833,52.6
31-01-19,11:30:00,52.61,52.68,52.61,52.68,52.6767,52.5375
31-01-19,11:25:00,52.65,52.7,52.61,52.67,52.6833,52.4813
31-01-19,11:20:00,52.75,52.79,52.51,52.68,52.6567,52.4438
31-01-19,11:15:00,52.59,52.74,52.56,52.7,52.58,52.395
31-01-19,11:10:00,52.46,52.63,52.45,52.59,52.4567,52.3375
31-01-19,11:05:00,52.33,52.47,52.3,52.45,52.3267,52.2888
31-01-19,11:00:00,52.2,52.34,52.2,52.33,52.2533,52.2638
31-01-19,10:55:00,52.25,52.3,52.2,52.2,52.2667,52.2413
31-01-19,10:50:00,52.32,52.32,52.2,52.23,52.2967,52.2125
31-01-19,10:45:00,52.32,52.4,52.32,52.37,52.3,52.1762
31-01-19,10:40:00,52.21,52.29,52.21,52.29,52.2433,52.0637
31-01-19,10:35:00,52.21,52.24,52.2,52.24,52.23,51.9825
31-01-19,10:30:00,52.21,52.27,52.2,52.2,52.2,51.925
31-01-19,10:25:00,52.13,52.4,52.11,52.25,52.1233,51.8237
31-01-19,10:20:00,51.97,52.25,51.96,52.15,52.02,51.73
31-01-19,10:15:00,51.83,51.97,51.69,51.97,51.7933,51.6862
31-01-19,10:10:00,51.46,51.98,51.45,51.94,51.6833,51.6575
31-01-19,10:05:00,51.64,51.78,51.46,51.47,51.63,51.6425
31-01-19,10:00:00,51.79,52,51.6,51.64,51.6033,51.6937
30-01-19,17:55:00,51.78,51.78,51.78,51.78,51.5567,51.7225
30-01-19,17:50:00,51.5,51.5,51.37,51.39,51.5633,51.7825
30-01-19,17:45:00,51.79,51.91,51.38,51.5,51.68,51.8675
