EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31,Vazao01Status,Vazao02Status,Vazao03Status,Vazao04Status,Vazao05Status,Vazao06Status,Vazao07Status,Vazao08Status,Vazao09Status,Vazao10Status,Vazao11Status,Vazao12Status,Vazao13Status,Vazao14Status,Vazao15Status,Vazao16Status,Vazao17Status,Vazao18Status,Vazao19Status,Vazao20Status,Vazao21Status,Vazao22Status,Vazao23Status,Vazao24Status,Vazao25Status,Vazao26Status,Vazao27Status,Vazao28Status,Vazao29Status,Vazao30Status,Vazao31Status
65370000,2,11-01-1945,,1,1,2424,,,24,,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424,1934,164,1563,1409,1332,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
65370000,2,12-01-1945,,1,1,679,69,21472,17,3,1,1,1,,0,78,735,69,825,429,3524,2228,164,1409,1178,1024,947,87,947,524,524,6645,3885,2846,2522,213,1836,1738,1836,1836,164,2326,1836,1486,1255,1178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,01-01-1946,,1,1,233,947,44677,31,4,1,1,1,,0,1101,1024,1024,947,1178,766,594,3411,4155,2959,2522,2228,4425,8421,566,3885,3524,3185,766,6645,483,375,3185,3637,58,524,429,3637,3072,4155,1935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,02-01-1946,,1,1,2812,538,100376,1,26,1,1,1,,0,2606,205,1745,9856,7805,679,58,9363,8264,795,8421,9688,766,594,1344,156,1137,1222,10864,9363,8264,679,58,594,65,538,795,10024,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,
65370000,2,03-01-1946,,1,1,129,164,46146,31,29,1,1,1,,0,795,8735,8735,8264,594,4965,4965,429,3411,636,8107,51,4695,429,402,4695,429,3185,2959,262,2522,2424,2424,2959,2846,2326,213,1836,164,164,1273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,04-01-1946,,1,1,9856,87,19162,1,30,1,1,1,,0,9363,65,4155,3298,262,213,2032,1836,1738,1486,1409,1409,1332,1332,1255,1255,1178,1178,1101,1101,1101,1024,1024,1024,947,947,947,947,947,87,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,05-01-1946,,1,1,795,735,13554,19,12,1,1,1,,0,87,1101,1024,947,87,825,825,78,78,78,78,735,735,735,735,735,735,164,7805,4155,2959,2032,1332,1178,1101,1024,947,87,825,825,1332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,06-01-1946,,1,1,219,51,32219,23,20,1,1,1,,0,3298,3298,2424,1563,1332,1255,1255,1178,1178,1101,1101,1024,947,87,825,78,69,645,555,51,1486,402,1916,1171,708,483,2846,2424,10192,708,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
65370000,2,07-01-1946,,1,1,1326,213,48705,16,31,1,1,1,,0,524,4425,3885,4695,402,3637,3885,456,4965,429,3072,2326,1154,9688,7805,1222,8892,7225,594,4425,402,3885,375,3524,3298,3298,2959,2733,2424,2228,213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65370000,2,08-01-1946,,1,1,1036,78,20616,29,26,1,1,1,,0,213,2032,1836,1738,1738,2032,1934,1563,1486,1409,1409,1332,1332,1255,1255,1178,1101,1024,1024,1024,1024,1024,947,87,825,78,2522,766,9688,51,3637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
