EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
65370000;2;01/11/1945;;1;1;24,24;;;24;;1;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;24,24;19,34;16,4;15,63;14,09;13,32;11,78;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;
65370000;2;01/12/1945;;1;1;67,9;6,9;21,472;17;3;1;1;1;;0;7,8;7,35;6,9;8,25;42,9;35,24;22,28;16,4;14,09;11,78;10,24;9,47;8,7;9,47;52,4;52,4;66,45;38,85;28,46;25,22;21,3;18,36;17,38;18,36;18,36;16,4;23,26;18,36;14,86;12,55;11,78;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/01/1946;;1;1;233;9,47;44,677;31;4;1;1;1;;0;11,01;10,24;10,24;9,47;11,78;76,6;59,4;34,11;41,55;29,59;25,22;22,28;44,25;84,21;56,6;38,85;35,24;31,85;76,6;66,45;48,3;37,5;31,85;36,37;58;52,4;42,9;36,37;30,72;41,55;193,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/02/1946;;1;1;281,2;53,8;100,376;1;26;1;1;1;;0;260,6;205;174,5;98,56;78,05;67,9;58;93,63;82,64;79,5;84,21;96,88;76,6;59,4;134,4;156;113,7;122,2;108,64;93,63;82,64;67,9;58;59,4;65;53,8;79,5;100,24;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
65370000;2;01/03/1946;;1;1;129;16,4;46,146;31;29;1;1;1;;0;79,5;87,35;87,35;82,64;59,4;49,65;49,65;42,9;34,11;63,6;81,07;51;46,95;42,9;40,2;46,95;42,9;31,85;29,59;26,2;25,22;24,24;24,24;29,59;28,46;23,26;21,3;18,36;16,4;16,4;127,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/04/1946;;1;1;98,56;8,7;19,162;1;30;1;1;1;;0;93,63;65;41,55;32,98;26,2;21,3;20,32;18,36;17,38;14,86;14,09;14,09;13,32;13,32;12,55;12,55;11,78;11,78;11,01;11,01;11,01;10,24;10,24;10,24;9,47;9,47;9,47;9,47;9,47;8,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/05/1946;;1;1;79,5;7,35;13,554;19;12;1;1;1;;0;8,7;11,01;10,24;9,47;8,7;8,25;8,25;7,8;7,8;7,8;7,8;7,35;7,35;7,35;7,35;7,35;7,35;16,4;78,05;41,55;29,59;20,32;13,32;11,78;11,01;10,24;9,47;8,7;8,25;8,25;13,32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/06/1946;;1;1;219;5,1;32,219;23;20;1;1;1;;0;32,98;32,98;24,24;15,63;13,32;12,55;12,55;11,78;11,78;11,01;11,01;10,24;9,47;8,7;8,25;7,8;6,9;6,45;5,55;5,1;14,86;40,2;191,6;117,1;70,8;48,3;28,46;24,24;101,92;70,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65370000;2;01/07/1946;;1;1;132,6;21,3;48,705;16;31;1;1;1;;0;52,4;44,25;38,85;46,95;40,2;36,37;38,85;45,6;49,65;42,9;30,72;23,26;115,4;96,88;78,05;122,2;88,92;72,25;59,4;44,25;40,2;38,85;37,5;35,24;32,98;32,98;29,59;27,33;24,24;22,28;21,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
65370000;2;01/08/1946;;1;1;103,6;7,8;20,616;29;26;1;1;1;;0;21,3;20,32;18,36;17,38;17,38;20,32;19,34;15,63;14,86;14,09;14,09;13,32;13,32;12,55;12,55;11,78;11,01;10,24;10,24;10,24;10,24;10,24;9,47;8,7;8,25;7,8;25,22;76,6;96,88;51;36,37;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
